id,timestamp,sat_id,lat,lon,rssi,delta_t,rssi_var,status,label_code,key_used
1,2026-03-28T15:14:12.684404,SAT-ISS-01,50.000541,34.348433,-53.17,0.0,0.0,NORMAL_TRAFFIC,0,KEY_ALPHA
2,2026-03-28T15:14:14.688526,SAT-ISS-01,49.96531,34.532841,-53.09,2.004310131073,0.00159999999999993,NORMAL_TRAFFIC,0,KEY_ALPHA
3,2026-03-28T15:14:16.694707,SAT-ISS-01,49.929688,34.717342,-52.19,2.00470352172852,0.197422222222224,NORMAL_TRAFFIC,0,KEY_ALPHA
4,2026-03-28T15:14:18.698101,SAT-ISS-01,49.893817,34.901193,-51.13,2.00426451365153,0.681475,NORMAL_TRAFFIC,0,KEY_ALPHA
5,2026-03-28T15:14:20.702042,SAT-ISS-01,49.857587,35.084962,-52.88,2.00421702861786,0.582816,NORMAL_TRAFFIC,0,KEY_ALPHA
6,2026-03-28T15:14:22.705292,SAT-ISS-01,49.821103,35.268132,-49.8,2.00413250923157,1.49218888888889,NORMAL_TRAFFIC,0,KEY_ALPHA
7,2026-03-28T15:14:24.708225,SAT-ISS-01,49.784263,35.451208,-53.73,2.00393668810527,1.62736734693878,NORMAL_TRAFFIC,0,KEY_ALPHA
8,2026-03-28T15:14:26.711091,SAT-ISS-01,49.747117,35.633947,-51.42,2.00379204750061,1.5056484375,NORMAL_TRAFFIC,0,KEY_ALPHA
9,2026-03-28T15:14:28.712542,SAT-ISS-01,49.709676,35.816294,-51.95,2.00340282917023,1.34340987654321,NORMAL_TRAFFIC,0,KEY_ALPHA
10,2026-03-28T15:14:30.713296,SAT-ISS-01,49.671947,35.998234,-52.35,2.00308765305413,1.212629,NORMAL_TRAFFIC,0,KEY_ALPHA
11,2026-03-28T15:14:32.717313,SAT-ISS-01,49.633871,36.18004,-52.93,2.00308569272359,1.169861,NORMAL_TRAFFIC,0,KEY_ALPHA
12,2026-03-28T15:14:34.753005,SAT-ISS-01,49.594853,36.364517,-52.34,2.00647743542989,1.079036,NORMAL_TRAFFIC,0,KEY_ALPHA
13,2026-03-28T15:14:36.759577,SAT-ISS-01,49.556065,36.546116,-52.98,2.00683832168579,1.153849,NORMAL_TRAFFIC,0,KEY_ALPHA
